domain,recall,value
politics,recall@1,0.58370651
politics,recall@2,0.70347957
politics,recall@5,0.79282903
politics,recall@1,0.56953566
politics,recall@2,0.69779889
politics,recall@5,0.77852753
politics,recall@1,0.54537792
politics,recall@2,0.69465767
politics,recall@5,0.74914152
politics,recall@1,0.5473017
politics,recall@2,0.70042175
politics,recall@5,0.77631158
politics,recall@1,0.57744554
politics,recall@2,0.66891133
politics,recall@5,0.77897512
politics,recall@1,0.57949647
politics,recall@2,0.66338813
politics,recall@5,0.78869854
politics,recall@1,0.54984893
politics,recall@2,0.68170721
politics,recall@5,0.77431429
politics,recall@1,0.53782446
politics,recall@2,0.68738111
politics,recall@5,0.78901778
politics,recall@1,0.56500074
politics,recall@2,0.68808797
politics,recall@5,0.75069254
politics,recall@1,0.54000165
politics,recall@2,0.69000165
politics,recall@5,0.7590721
sports,recall@1,0.65704969
sports,recall@2,0.67453416
sports,recall@5,0.84683213
sports,recall@1,0.61697346
sports,recall@2,0.64332427
sports,recall@5,0.80258212
sports,recall@1,0.62861803
sports,recall@2,0.67085849
sports,recall@5,0.82571555
sports,recall@1,0.61067567
sports,recall@2,0.66263024
sports,recall@5,0.84606757
sports,recall@1,0.61926149
sports,recall@2,0.66247772
sports,recall@5,0.81060503
sports,recall@1,0.65669169
sports,recall@2,0.64589378
sports,recall@5,0.81679445
sports,recall@1,0.6489277
sports,recall@2,0.6439123
sports,recall@5,0.79779563
sports,recall@1,0.60903647
sports,recall@2,0.66889009
sports,recall@5,0.82078599
sports,recall@1,0.61269973
sports,recall@2,0.64936318
sports,recall@5,0.83907813
sports,recall@1,0.6077725
sports,recall@2,0.65691893
sports,recall@5,0.80355669
sports,recall@1,0.62737795
sports,recall@2,0.6359561
sports,recall@5,0.83060294
activism,recall@1,0.69063021
activism,recall@2,0.78790464
activism,recall@5,0.93604757
activism,recall@1,0.64125122
activism,recall@2,0.74919267
activism,recall@5,0.88616064
activism,recall@1,0.64731108
activism,recall@2,0.7445337
activism,recall@5,0.92243209
activism,recall@1,0.66876163
activism,recall@2,0.738532
activism,recall@5,0.92493649
activism,recall@1,0.68165678
activism,recall@2,0.74692727
activism,recall@5,0.9098738
activism,recall@1,0.6830228
activism,recall@2,0.75910009
activism,recall@5,0.92765425
activism,recall@1,0.66281502
activism,recall@2,0.74436802
activism,recall@5,0.89517793
activism,recall@1,0.66544814
activism,recall@2,0.74722357
activism,recall@5,0.89186535
activism,recall@1,0.67015452
activism,recall@2,0.77606199
activism,recall@5,0.90617821
activism,recall@1,0.66303175
activism,recall@2,0.76717868
activism,recall@5,0.89729225
activism,recall@1,0.64665745
activism,recall@2,0.75967907
activism,recall@5,0.89375311